Transaction_ID,Date,Customer_Name,Product,Quantity,Total_Amount
1000001,2025-04-13,Customer_48,Headphones,5,7500
1000002,2025-12-15,Customer_61,Smartwatch,2,14000
1000003,2025-09-28,Customer_17,Tablet,1,9000
1000004,2025-04-17,Customer_40,Smartwatch,2,14000
1000005,2025-03-13,Customer_75,Mobile Phone,1,12500
1000006,2025-07-08,Customer_89,Tablet,2,18000
1000007,2025-01-21,Customer_69,Laptop,5,250000
1000008,2025-04-13,Customer_85,Headphones,1,1500
1000009,2025-05-02,Customer_26,Smartwatch,4,28000
1000010,2025-08-03,Customer_80,Tablet,5,45000
1000011,2025-11-27,Customer_56,Headphones,1,1500
1000012,2025-03-29,Customer_40,Smartwatch,2,14000
1000013,2025-04-10,Customer_85,Mobile Phone,3,37500
1000014,2025-12-26,Customer_96,Mobile Phone,1,12500
1000015,2025-06-01,Customer_68,Mobile Phone,5,62500
1000016,2025-05-11,Customer_8,Laptop,2,100000
1000017,2025-05-30,Customer_73,Mobile Phone,5,62500
1000018,2025-11-05,Customer_45,Mobile Phone,2,25000
1000019,2025-09-15,Customer_17,Mobile Phone,5,62500
1000020,2025-12-10,Customer_41,Tablet,1,9000
1000021,2025-10-21,Customer_77,Headphones,1,1500
1000022,2025-07-11,Customer_9,Laptop,1,50000
1000023,2025-10-04,Customer_70,Smartwatch,2,14000
1000024,2025-06-10,Customer_91,Laptop,4,200000
1000025,2025-11-10,Customer_24,Headphones,5,7500
1000026,2025-01-22,Customer_73,Mobile Phone,4,50000
1000027,2025-09-10,Customer_11,Mobile Phone,4,50000
1000028,2025-08-24,Customer_35,Smartwatch,4,28000
1000029,2025-12-11,Customer_29,Laptop,3,150000
1000030,2025-02-18,Customer_8,Laptop,5,250000
1000031,2025-02-28,Customer_17,Smartwatch,3,21000
1000032,2025-06-19,Customer_71,Laptop,5,250000
1000033,2025-07-07,Customer_12,Laptop,3,150000
1000034,2025-09-28,Customer_79,Laptop,5,250000
1000035,2025-07-09,Customer_93,Smartwatch,1,7000
1000036,2025-06-24,Customer_50,Smartwatch,4,28000
1000037,2025-02-20,Customer_24,Headphones,2,3000
1000038,2025-12-30,Customer_37,Laptop,4,200000
1000039,2025-02-24,Customer_78,Headphones,5,7500
1000040,2025-09-01,Customer_11,Tablet,2,18000
1000041,2025-11-16,Customer_99,Tablet,4,36000
1000042,2025-05-11,Customer_81,Laptop,5,250000
1000043,2025-11-03,Customer_59,Mobile Phone,4,50000
1000044,2025-05-15,Customer_55,Tablet,5,45000
1000045,2025-01-21,Customer_27,Mobile Phone,3,37500
1000046,2025-11-25,Customer_67,Headphones,3,4500
1000047,2025-06-16,Customer_60,Laptop,1,50000
1000048,2025-10-01,Customer_2,Headphones,2,3000
1000049,2025-03-30,Customer_68,Headphones,3,4500
1000050,2025-11-12,Customer_18,Smartwatch,5,35000
1000051,2025-01-14,Customer_20,Laptop,4,200000
1000052,2025-08-30,Customer_85,Smartwatch,1,7000
1000053,2025-09-22,Customer_63,Headphones,4,6000
